"T","X","Y","datasets","days"
"2019--P1Y", +0173, +0119,    2,    2
"2019--P1Y", +0173, +0120,    2,    2
"2019--P1Y", +0173, +0121,    2,    2
"2019--P1Y", +0173, +0122,    2,    2
"2019--P1Y", +0174, +0080,    2,    2
"2019--P1Y", +0174, +0081,    2,    2
"2019--P1Y", +0174, +0082,    2,    2
"2019--P1Y", +0174, +0083,    2,    2
"2019--P1Y", +0174, +0084,    2,    2
"2019--P1Y", +0174, +0085,    2,    2
"2019--P1Y", +0174, +0086,    2,    2
"2019--P1Y", +0174, +0087,    2,    2
"2019--P1Y", +0174, +0088,    2,    2
"2019--P1Y", +0174, +0089,    2,    2
"2019--P1Y", +0174, +0090,    2,    2
"2019--P1Y", +0174, +0091,    2,    2
"2019--P1Y", +0174, +0092,    2,    2
"2019--P1Y", +0174, +0093,    2,    2
"2019--P1Y", +0174, +0094,    2,    2
"2019--P1Y", +0174, +0095,    2,    2
"2019--P1Y", +0174, +0096,    2,    2
"2019--P1Y", +0174, +0097,    2,    2
"2019--P1Y", +0174, +0098,    2,    2
"2019--P1Y", +0174, +0099,    2,    2
"2019--P1Y", +0174, +0100,    2,    2
"2019--P1Y", +0174, +0101,    2,    2
"2019--P1Y", +0174, +0102,    2,    2
"2019--P1Y", +0174, +0103,    2,    2
"2019--P1Y", +0174, +0104,    2,    2
"2019--P1Y", +0174, +0105,    2,    2
"2019--P1Y", +0174, +0106,    2,    2
"2019--P1Y", +0174, +0107,    2,    2
"2019--P1Y", +0174, +0108,    2,    2
"2019--P1Y", +0174, +0109,    2,    2
"2019--P1Y", +0174, +0110,    2,    2
"2019--P1Y", +0174, +0111,    2,    2
"2019--P1Y", +0174, +0112,    2,    2
"2019--P1Y", +0174, +0113,    2,    2
"2019--P1Y", +0174, +0114,    2,    2
"2019--P1Y", +0174, +0115,    2,    2
"2019--P1Y", +0174, +0116,    2,    2
"2019--P1Y", +0174, +0117,    2,    2
"2019--P1Y", +0174, +0118,    2,    2
"2019--P1Y", +0174, +0119,    2,    2
"2019--P1Y", +0174, +0120,    2,    2
"2019--P1Y", +0174, +0121,    2,    2
"2019--P1Y", +0174, +0122,    2,    2
"2019--P1Y", +0174, +0123,    2,    2
"2019--P1Y", +0175, +0080,    2,    2
"2019--P1Y", +0175, +0081,    2,    2
"2019--P1Y", +0175, +0082,    2,    2
"2019--P1Y", +0175, +0083,    2,    2
"2019--P1Y", +0175, +0084,    2,    2
"2019--P1Y", +0175, +0085,    2,    2
"2019--P1Y", +0175, +0086,    2,    2
"2019--P1Y", +0175, +0087,    2,    2
"2019--P1Y", +0175, +0088,    2,    2
"2019--P1Y", +0175, +0089,    2,    2
"2019--P1Y", +0175, +0090,    2,    2
"2019--P1Y", +0175, +0091,    2,    2
"2019--P1Y", +0175, +0092,    2,    2
"2019--P1Y", +0175, +0093,    2,    2
"2019--P1Y", +0175, +0094,    2,    2
"2019--P1Y", +0175, +0095,    2,    2
"2019--P1Y", +0175, +0096,    2,    2
"2019--P1Y", +0175, +0097,    2,    2
"2019--P1Y", +0175, +0098,    2,    2
"2019--P1Y", +0175, +0099,    2,    2
"2019--P1Y", +0175, +0100,    2,    2
"2019--P1Y", +0175, +0101,    2,    2
"2019--P1Y", +0175, +0102,    2,    2
"2019--P1Y", +0175, +0103,    2,    2
"2019--P1Y", +0175, +0104,    2,    2
"2019--P1Y", +0175, +0105,    2,    2
"2019--P1Y", +0175, +0106,    2,    2
"2019--P1Y", +0175, +0107,    2,    2
"2019--P1Y", +0175, +0108,    2,    2
"2019--P1Y", +0175, +0109,    2,    2
"2019--P1Y", +0175, +0110,    2,    2
"2019--P1Y", +0175, +0111,    2,    2
"2019--P1Y", +0175, +0112,    2,    2
"2019--P1Y", +0175, +0113,    2,    2
"2019--P1Y", +0175, +0114,    2,    2
"2019--P1Y", +0175, +0115,    2,    2
"2019--P1Y", +0175, +0116,    2,    2
"2019--P1Y", +0175, +0117,    2,    2
"2019--P1Y", +0175, +0118,    2,    2
"2019--P1Y", +0175, +0119,    2,    2
"2019--P1Y", +0175, +0120,    2,    2
"2019--P1Y", +0175, +0121,    2,    2
